# Generated by global_average.py 
# Description:
#   Global averaged MWR observation (weighted by surface area)
# Parameters:
#   epsilon_Tb = 5. K
#   epsilon_Ld = 0.5 %
# Using:
#  ch1_gfilter.txt
#  ch2_gfilter.txt
#  ch3_gfilter.txt
#  ch4_gfilter.txt
#  ch5_gfilter.txt
#  ch6_gfilter.txt
#  ch7_gfilter.txt

# Nadir brightness temperature (K)
# PJ1     # PJ3     # PJ4     # PJ5     # PJ6     # PJ7     # PJ8     # PJ9     # PJ12     
839.50    837.54    837.04    835.63    836.45    835.43    834.97    835.95    833.36    
451.80    452.21    452.68    452.25    450.69    453.14    450.11    452.94    451.85    
326.53    326.16    326.30    325.66    326.09    326.28    325.26    325.93    325.57    
245.12    244.90    244.78    244.44    244.75    244.40    243.96    244.75    244.48    
190.83    191.24    190.88    190.87    189.90    189.84    190.44    191.09    190.65    
140.85    140.87    140.90    141.13    140.81    140.37    140.88    140.87    140.52    

# Limb darkening (%)
13.78     14.15     13.95     13.94     13.94     13.87     13.96     14.09     13.92     
9.54      9.71      9.71      9.66      9.64      9.59      9.58      9.66      9.68      
6.77      6.73      6.83      6.77      6.80      6.81      6.70      6.80      6.78      
5.77      5.73      5.80      5.74      5.77      5.76      5.72      5.77      5.77      
4.30      4.23      4.24      4.21      4.29      4.31      4.33      4.22      4.29      
1.26      1.25      1.35      1.31      1.25      1.26      1.27      1.32      1.25      
