# Generated by plot_tbld_pj.py 
# Description:
#   MWR time depdent, T^2_b
# Using:
#   mwr_zonal_average.txt
#   ch1_gfilter.txt
#   ch2_gfilter.txt
#   ch3_gfilter.txt
#   ch4_gfilter.txt
#   ch5_gfilter.txt
#   ch6_gfilter.txt

# CH1 Time dependent Tb (K)
#    PCLAT      PJ01      PJ03      PJ04      PJ05      PJ06      PJ07      PJ08      PJ09      PJ12
    -59.68    -11.52      0.98     -2.29      0.69      0.45    -12.54    -13.64     -2.39     -7.72
    -58.92     -9.15      6.74     -4.12      1.24      2.20     -3.92     -7.58     -1.75     -7.99
    -58.16     -7.56     10.14     -5.61      1.36      3.36      2.94     -2.65     -1.49     -8.47
    -57.40     -5.31     10.70     -6.00      0.89      4.43      5.64      1.00     -1.31     -8.68
    -56.64     -2.98      8.97     -6.60      0.36      5.20      5.54      3.18     -1.14     -8.51
    -55.87     -0.65      6.53     -6.16     -0.05      6.56      2.61      4.45     -0.45     -7.69
    -55.11      0.74      2.70     -5.14     -0.17      7.66     -1.18      4.76      0.62     -6.25
    -54.34      1.67      0.13     -3.66     -0.09      9.24     -5.54      4.48      1.64     -4.64
    -53.57      1.47     -2.51     -2.27     -0.19     10.22     -9.81      3.45      2.75     -2.83
    -52.80     -0.26     -3.35     -1.53     -0.34     10.83    -12.64      2.01      3.41     -1.43
    -52.03     -1.95     -4.18     -1.07     -0.67     10.78    -14.21      0.43      3.87     -0.49
    -51.26     -2.93     -3.02     -1.23     -0.75     10.46    -13.15     -0.92      3.79     -0.03
    -50.48     -3.39     -2.07     -1.67     -0.64      9.60    -10.98     -2.02      3.25     -0.43
    -49.70     -3.37      0.37     -2.15     -0.26      8.59     -8.11     -2.45      2.49     -1.24
    -48.92     -2.49      1.61     -2.24      0.44      7.35     -5.40     -2.66      1.51     -2.13
    -48.14     -0.83      3.52     -1.91      1.35      6.56     -3.20     -2.27      0.65     -3.32
    -47.36      1.05      3.99     -1.09      2.32      5.99     -2.09     -1.90     -0.05     -4.05
    -46.57      2.06      3.57     -0.16      3.04      6.13     -2.81     -1.16     -0.42     -4.68
    -45.78      2.70      2.26      0.64      3.34      6.50     -4.20     -0.37     -0.37     -4.71
